"ID","Folder","Person","TS.of.data.collection","Researcher.Initial","Signal.ID","Date","Weather","Number.of.people.in.group","Age_Child","Age_Teenager","Age_Young_adult","Age_Middle_aged_adult","Age_Older_adult_over_65","Age_Adult_of_unknown_age","Age_ChildTeen","Age_Adult","Gender_Male","Gender_Female","Gender_Unknown_gender","OC_Stroller","OC_Carrying_load","OC_Wheelchair","OC_Skateboard","OC_Scooter","OC_Bicycle","OC_Distracted","OC_Others","Crosswalk.ID","Crossing.location","Crossing.direction","Ped.TS.at.CP.1","Ped.TS.at.CP.2","Ped.TS.at.CP.Diff","RT.queue.length","About.Ped","About.overall.conflict","Vehicle","Stop.location","TS.CP","Reaction.to.conflict","Ped.Reaction","Type","About.Conflict","Encroachment_Time_Pre","Encroachment_Time_Post","Encroachment_Time","Encroachment.Car.Before.Ped","Encroachment.Car.After.Ped","Encroachment.Car.Same.Ped"
8,"2021-09-14 5306","BN",2022-02-15 21:04:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 15:55:00,2021-09-15 15:55:00,0,"1",NA,NA,1,"Before the first crosswalk",2021-09-15 15:55:04,"No obvious reaction","No obvious reaction","Pickup Truck",NA,-4,4,4,FALSE,TRUE,FALSE
10,"2021-09-14 5306","BN",2022-02-15 21:07:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 16:07:28,2021-09-15 16:07:28,0,"2",NA,NA,1,"Did not stop",2021-09-15 16:07:31,"Driver slowed down","No obvious reaction","Vehicle Pulling a Trailer",NA,-3,3,3,FALSE,TRUE,FALSE
10,"2021-09-14 5306","BN",2022-02-15 21:07:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 16:07:28,2021-09-15 16:07:28,0,"2",NA,NA,2,"Did not stop",2021-09-15 16:07:35,"No obvious reaction","No obvious reaction","Van (mini van, sprinter van, etc.)",NA,-7,7,7,FALSE,TRUE,FALSE
11,"2021-09-14 5306","BN",2022-02-15 21:10:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 16:42:23,2021-09-15 16:42:23,0,"1",NA,NA,1,"Did not stop",2021-09-15 16:42:25,"No obvious reaction","No obvious reaction","Sedan",NA,-2,2,2,FALSE,TRUE,FALSE
12,"2021-09-14 5306","BN",2022-02-15 21:13:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 17:09:49,2021-09-15 17:09:49,0,"2",NA,NA,1,"Between the first and second crosswalk",2021-09-15 17:09:51,"Driver fully stopped","No obvious reaction","SUV",NA,-2,2,2,FALSE,TRUE,FALSE
14,"2021-09-14 5306","BN",2022-02-15 21:19:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 18:19:31,2021-09-15 18:19:31,0,"0",NA,NA,1,"Did not stop",2021-09-15 18:19:23,"No obvious reaction","No obvious reaction","Van (mini van, sprinter van, etc.)",NA,8,-8,-8,TRUE,FALSE,FALSE
14,"2021-09-14 5306","BN",2022-02-15 21:19:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 18:19:31,2021-09-15 18:19:31,0,"0",NA,NA,2,"Did not stop",2021-09-15 18:19:24,"No obvious reaction","No obvious reaction","Sedan",NA,7,-7,-7,TRUE,FALSE,FALSE
15,"2021-09-14 5306","BN",2022-02-15 21:22:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 19:14:46,2021-09-15 19:14:46,0,"1",NA,NA,1,"Between the first and second crosswalk",2021-09-15 19:14:49,"No obvious reaction","No obvious reaction","SUV",NA,-3,3,3,FALSE,TRUE,FALSE
16,"2021-09-14 5306","BN",2022-02-16 11:39:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"walking a dog","Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 19:56:42,2021-09-15 19:56:42,0,"3",NA,NA,1,"Did not stop",2021-09-15 19:56:39,"No obvious reaction","No obvious reaction","SUV",NA,3,-3,-3,TRUE,FALSE,FALSE
16,"2021-09-14 5306","BN",2022-02-16 11:39:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"walking a dog","Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 19:56:42,2021-09-15 19:56:42,0,"3",NA,NA,2,"Did not stop",2021-09-15 19:56:45,"Driver slowed down","No obvious reaction","Van (mini van, sprinter van, etc.)",NA,-3,3,3,FALSE,TRUE,FALSE
