"Signal","Location","Corner","RT","Start","End","Duration","P_RT","P_P1","P_P2","P_Notes","SKEWED","CORNER","BIKE_LN","BIKE_LOC","RT_LNS","REC_LNS","CHANNEL","CURB_RAD","CW_DIST","SB_DIST","RAMPS","CR_TYPE","EXTENSION","Street.Lt","CWType1","RTOR","CWType2","RTNotSig","OnRamp","OffRamp","LAT","LONG","AAD","area_sqmi_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","worship_qtmi","schools_qtmi","park_sqmi_qtmi","popden_000_qtmi","empden_000_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi","stops_qtmi","stopden_qtmi","highway","local_road","major_road","AADT_30M_Buffer"
1225,"1300 E / Leopard Ln @ 800 S, SLC","SW","EB RT",2021-11-09 08:19:00,2021-11-10 13:19:00,28.9999999998836,4,6,4,NA,FALSE,3,TRUE,"None",1,0,FALSE,24,0,6,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Continental",FALSE,FALSE,FALSE,40.75201179,-111.853786,502.892944728467,0.156612062,54.21852899,14.49269207,0,0.454619146,18.86129523,57.46683817,44.44444444,2,2,0.000298058,5.399328031,1.959658811,90.1185,1.467311568,3.112325231,10,63.85204241,0,1,1,19218.7546
1229,"2100 S @ 1300 E, SLC","NW","SB RT",2022-05-26 07:44:00,2022-05-27 14:52:00,31.1333333331859,6,8,6,NA,FALSE,4,FALSE,NA,0.5,0,FALSE,24,3,9,1,"Diagonal",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.72541477,-111.853903,1599.53876550651,0.141771319,40.11783403,33.36624338,0,0.263672524,2.935877829,70.53612855,20,1,0,0.024078356,5.890869867,11.1595579,74.615,1.713181033,2.476732534,11,77.58974141,0,0,1,30885.8639
4522,"Grizzlies Blvd / 3100 S @ Decker Lake Dr, WVC","SW","EB RT",2022-05-24 15:14:00,2022-05-26 07:40:00,40.4333333332906,6,8,6,NA,FALSE,3,FALSE,NA,0.5,0,FALSE,45,52,48,1,"Blended",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,40.70393472,-111.9485259,316.942883796272,0.136462436,31.21629267,43.33285828,0.129062063,10.12012093,4.5728903,58.62419172,12.5,1,0,0,7.460857078,4.860676207,43.3775,1.281119694,3.717670203,3,21.9840719,0,1,1,11723.58197
5030,"Washington Blvd / US-89 @ 12th St / SR-39, OGD","NW","SB RT",2021-09-16 08:55:00,2021-09-17 17:02:00,32.1166666665813,6,8,6,NA,FALSE,4,FALSE,NA,1,0,FALSE,38,8,24,2,"Directional",FALSE,TRUE,"Standard",FALSE,"Standard",FALSE,FALSE,FALSE,41.24425715,-111.9700297,766.750245995251,0.149252019,24.82483369,40.06372586,0,0.718283565,9.605534511,93.80107637,50,0,1,0,4.253205238,4.286336154,42.855,1.358547142,2.817290292,9,60.30069195,1,0,0,28751.13058
5042,"Wall Ave / SR-204 @ 12th St / SR-39, OGD","NE","WB RT",2021-11-18 07:52:00,2021-11-19 16:46:00,32.9000000000233,8,2,8,NA,FALSE,1,FALSE,NA,1,0,FALSE,40,9,11,1,"Diagonal",FALSE,TRUE,"Continental",FALSE,"Continental",FALSE,FALSE,FALSE,41.24421832,-111.9782439,311.274858120559,0.142374601,16.40021538,44.11551792,2.196730071,0,20.26071021,105.35587,13.33333333,0,0,0,3.28882989,5.019209227,37.4115,1.814473193,3.111654978,11,77.26097132,1,0,0,29849.92831
5093,"1900 W / SR-126 @ 4800 S, ROY","SE","NB RT",2022-06-13 07:52:00,2022-06-14 16:18:00,32.4333333334071,2,4,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,24,7,6,1,"Diagonal",FALSE,TRUE,"Continental",FALSE,"Standard",FALSE,FALSE,FALSE,41.17618303,-112.0259806,185.974900591971,0.143460509,48.69193297,15.03803752,0,0,17.9729659,83.64671258,25,1,0,0,6.195612008,6.60685043,53.426,1.837432792,2.815086642,5,34.85279691,1,1,0,22450.30308
5139,"US-89 / Harrisville Rd @ Wall Ave / SR-204 / Larsen Ln, HRV","S","NB RT",2022-06-02 10:02:00,2022-06-03 16:30:00,30.4666666666162,NA,NA,NA,"RT not signalized",TRUE,3,FALSE,NA,1,0,TRUE,42,NA,NA,1,"Directional",FALSE,TRUE,"Standard",FALSE,"No Crossing",TRUE,FALSE,FALSE,41.27129541,-111.9776716,50.2167654871117,0.116554123,41.30382615,28.361083,1.571416762,3.826122766,10.06984339,17.15941016,50,0,0,0,1.015601024,1.730410661,59.167,2.53747821034282,2.969387755,3,25.73911523,1,1,1,13262.7961
5144,"4000 S / SR-37 @ Midland Dr / SR-108, ROY","NW","SB RT",2022-06-16 07:54:00,2022-06-17 14:53:00,30.9833333332208,NA,NA,NA,"RT not signalized",TRUE,4,FALSE,NA,1,1,TRUE,100,NA,NA,1,"Directional",FALSE,TRUE,"Standard",FALSE,"No Crossing",TRUE,FALSE,FALSE,41.19057533,-112.0482922,48.1215228717987,0.123672853,26.56414625,9.714125862,0,0,48.90155796,97.0301866,16.66666667,0,0,0,4.303431993,1.159880621,68.865,2.320122445,3.347644476,4,32.34339553,1,1,0,15310.1081
5205,"S-89 NB @ Shepard Ln, FRM","SE","NB RT",2022-05-24 15:21:00,2022-05-26 07:40:00,40.3166666667676,NA,NA,NA,"RT not signalized",TRUE,2,FALSE,NA,1,0,TRUE,46,NA,NA,1,"Directional",FALSE,TRUE,"Standard",FALSE,"No Crossing",TRUE,FALSE,TRUE,41.000784,-111.90731,150.451396958407,0.137186374,14.93686254,40.91747246,0,19.75632263,0.302270255,145.7870731,15,1,1,0.004652086,1.894704221,0.93832513,104.56925,1.756185165,3.385047472,0,0,1,0,0,11000
5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933
