"DV","IV","test","cor","cil","ciu","t","df","p"
"ReactDrv_None","GroupSize","Point-Biserial",-0.0739437552528618,-0.121911740367739,-0.0256311628844934,-3.00088256575132,1638,0.00273265652580515
"ReactDrv_None","logGroupSize","Point-Biserial",-0.140435057613614,-0.187564389094458,-0.092660601974475,-5.74060756071837,1638,1.12199316411526e-08
"ReactDrv_None","Age_ChildTeen","Phi",-0.182594128918421,-0.228974702483098,-0.135386389393389,-7.51635047421437,1638,9.22226818086674e-14
"ReactDrv_None","Age_Child","Phi",-0.0643818244938825,-0.112435765641017,-0.0160274403785019,-2.6110920270823,1638,0.00910774294570407
"ReactDrv_None","Age_Teenager","Phi",-0.173535357881539,-0.220090955391804,-0.126191013728565,-7.13156255116751,1638,1.48332826326656e-12
"ReactDrv_None","Age_Adult","Phi",0.169728155037115,0.122328825652687,0.216355005024014,6.97040820035563,1638,4.56516136002457e-12
"ReactDrv_None","Age_Young_adult","Phi",0.0703518346733255,0.0220224972452204,0.118353134154709,2.85436685192938,1638,0.00436653651755998
"ReactDrv_None","Age_Middle_aged_adult","Phi",0.0548615393619191,0.00647440099154508,0.102992370776231,2.22371687010223,1638,0.0263034310216467
"ReactDrv_None","Age_Older","Phi",0.0201977541486192,-0.0282341806222337,0.0685350816001556,0.81761459140821,1638,0.413696203791799
"ReactDrv_None","Age_Adult_of_unknown_age","Phi",-0.0161681686509558,-0.0645220045003046,0.0322614108083125,-0.654447105438692,1638,0.512915671852829
"ReactDrv_None","Gender_Male","Phi",0.0214004022913531,-0.0270319307093445,0.0697324997121029,0.866320033318471,1638,0.38644155887642
"ReactDrv_None","Gender_Female","Phi",-0.111668389842237,-0.159212142373614,-0.0636078738925886,-4.54791161877841,1638,5.81625932800457e-06
"ReactDrv_None","Gender_Unknown","Phi",0.0361737395752387,-0.0122520447106632,0.084430236505108,1.46499009428941,1638,0.143115526454354
"ReactDrv_None","OC_Load","Phi",-0.0164169159121118,-0.0647697779946562,0.0320128544736432,-0.664518467428279,1638,0.506452068632406
"ReactDrv_None","OC_StrWhe","Phi",-0.0762722135260217,-0.124217943991745,-0.0279711489886326,-3.09592357434646,1638,0.00199525714878495
"ReactDrv_None","OC_Stroller","Phi",-0.0588167326663774,-0.106916673916416,-0.0104421298733766,-2.38457149043608,1638,0.0172122394493779
"ReactDrv_None","OC_Wheelchair","Phi",-0.0503597590531935,-0.0985239255069575,-0.00196020593476402,-2.04076031377096,1638,0.041434687395986
"ReactDrv_None","OC_SkaSco","Phi",0.0314860687568018,-0.0169440864594231,0.079768827485738,1.27494299992624,1638,0.202510229600328
"ReactDrv_None","OC_Skateboard","Phi",0.0555293655805152,0.00714423692599505,0.103655086408204,2.25086926303717,1638,0.0245259552563604
"ReactDrv_None","OC_Scooter","Phi",0.000235653814983288,-0.0481692270114036,0.0486394303774123,0.00953743158596168,1638,0.992391507360006
"ReactDrv_None","OC_Bicycle","Phi",0.0879591376850631,0.0397239350638829,0.135785348918602,3.57375249398861,1638,0.000362096225316671
"ReactDrv_None","OC_Distracted","Phi",-0.125193004847821,-0.172551693033208,-0.077256840942257,-5.1070178612547,1638,3.65527449706339e-07
"ReactDrv_None","CWNum1","Phi",-0.018429128154841,-0.0667738939038796,0.0300019664642623,-0.745994287177608,1638,0.455777908495719
"ReactDrv_None","CWNum2","Phi",0.018429128154841,-0.0300019664642623,0.0667738939038796,0.745994287177608,1638,0.455777908495719
"ReactDrv_None","LocCross_Crosswalk","Phi",-0.0297545423778381,-0.0780464674284398,0.0186766880745611,-1.20476559493577,1638,0.228467842376279
"ReactDrv_None","LocCross_Away","Phi",0.0297545423778381,-0.0186766880745611,0.0780464674284398,1.20476559493577,1638,0.228467842376279
"ReactDrv_None","LocCross_Midblock","Phi",0.0315792613677034,-0.0168508277292621,0.0798615185802528,1.27872034346904,1638,0.201176691251002
"ReactDrv_None","LocCross_Middle","Phi",0.00524171479233358,-0.0431735706555332,0.0536324384550192,0.212146710380386,1638,0.832018973885783
"ReactDrv_None","CDirLeav","Phi",0.0847301845857213,0.0364754502630835,0.132590720587766,3.44159425857414,1638,0.000592831821675355
"ReactDrv_None","CDirAppr","Phi",-0.0847301845857213,-0.132590720587766,-0.0364754502630835,-3.44159425857414,1638,0.000592831821675355
"ReactDrv_None","ReactPed_None","Phi",0.13336324200675,0.0855109142428029,0.180601724494808,5.44615476730532,1638,5.92954152474191e-08
"ReactDrv_None","ReactPed_StopSlow","Phi",-0.0460018314259697,-0.0941964167813633,0.00240786150622661,-1.86376897456936,1638,0.0625329595949174
"ReactDrv_None","ReactPed_Stop","Phi",-0.0316350202268285,-0.0799169769736264,0.016795028906846,-1.28098041378362,1638,0.200381877074429
"ReactDrv_None","ReactPed_Slow","Phi",-0.0418743005095108,-0.0900960164934322,0.00654329345188053,-1.69623338512069,1638,0.0900317027420997
"ReactDrv_None","ReactPed_Other","Phi",-0.146570069061967,-0.193600874602219,-0.0988671632518373,-5.99677847408162,1638,2.47130927906192e-09
