"Variable","Num","Perc","Mean","SD","N"
"GroupSize",NA,NA,1.57621951219512,3.54991192226974,1640
"logGroupSize",NA,NA,0.190952671467491,0.479635483046221,1640
"Age_ChildTeen",298,18.1707317073171,NA,NA,1640
"Age_Child",37,2.25609756097561,NA,NA,1640
"Age_Teenager",273,16.6463414634146,NA,NA,1640
"Age_Adult",1372,83.6585365853659,NA,NA,1640
"Age_Young_adult",586,35.7317073170732,NA,NA,1640
"Age_Middle_aged_adult",536,32.6829268292683,NA,NA,1640
"Age_Older",42,2.5609756097561,NA,NA,1640
"Age_Adult_of_unknown_age",229,13.9634146341463,NA,NA,1640
"Gender_Male",1046,63.780487804878,NA,NA,1640
"Gender_Female",495,30.1829268292683,NA,NA,1640
"Gender_Unknown",252,15.3658536585366,NA,NA,1640
"OC_Load",62,3.78048780487805,NA,NA,1640
"OC_StrWhe",16,0.975609756097561,NA,NA,1640
"OC_Stroller",12,0.731707317073171,NA,NA,1640
"OC_Wheelchair",4,0.24390243902439,NA,NA,1640
"OC_SkaSco",85,5.18292682926829,NA,NA,1640
"OC_Skateboard",36,2.19512195121951,NA,NA,1640
"OC_Scooter",51,3.10975609756098,NA,NA,1640
"OC_Bicycle",246,15,NA,NA,1640
"OC_Distracted",73,4.45121951219512,NA,NA,1640
"CWNum1",346,21.0975609756098,NA,NA,1640
"CWNum2",1294,78.9024390243902,NA,NA,1640
"LocCross_Crosswalk",1593,97.1341463414634,NA,NA,1640
"LocCross_Away",47,2.86585365853659,NA,NA,1640
"LocCross_Midblock",34,2.07317073170732,NA,NA,1640
"LocCross_Middle",13,0.792682926829268,NA,NA,1640
"CDirLeav",1028,62.6829268292683,NA,NA,1640
"CDirAppr",612,37.3170731707317,NA,NA,1640
"ReactPed_None",1424,86.8292682926829,NA,NA,1640
"ReactPed_StopSlow",130,7.92682926829268,NA,NA,1640
"ReactPed_Stop",111,6.76829268292683,NA,NA,1640
"ReactPed_Slow",19,1.15853658536585,NA,NA,1640
"ReactPed_Other",86,5.24390243902439,NA,NA,1640
"ReactPed_Spedup",40,2.4390243902439,NA,NA,1640
"ReactPed_Ran",24,1.46341463414634,NA,NA,1640
"ReactPed_Cdir",22,1.34146341463415,NA,NA,1640
"RTQueue",NA,NA,1.69756097560976,1.63957877965079,1640
"Loc_Stop_None",1035,63.109756097561,NA,NA,1640
"Loc_Stop_Before",296,18.0487804878049,NA,NA,1640
"Loc_Stop_InBtwn",309,18.8414634146341,NA,NA,1640
"Loc_Stop_Inside1",222,13.5365853658537,NA,NA,1640
"Loc_Stop_Between",87,5.30487804878049,NA,NA,1640
"Loc_Stop_Inside2",0,0,NA,NA,1640
"ReactDrv_None",835,50.9146341463415,NA,NA,1640
"ReactDrv_StopSlow",725,44.2073170731707,NA,NA,1640
"ReactDrv_Stop",327,19.9390243902439,NA,NA,1640
"ReactDrv_Slow",398,24.2682926829268,NA,NA,1640
"ReactDrv_Other",80,4.8780487804878,NA,NA,1640
"ReactDrv_Spedup",75,4.57317073170732,NA,NA,1640
"ReactDrv_Swerve",5,0.304878048780488,NA,NA,1640
"VehType2_Small",651,39.6951219512195,NA,NA,1640
"VehType1_Sedan",646,39.390243902439,NA,NA,1640
"VehType1_Mcycle",5,0.304878048780488,NA,NA,1640
"VehType2_Medium",920,56.0975609756098,NA,NA,1640
"VehType1_SUV",545,33.2317073170732,NA,NA,1640
"VehType1_Truck",262,15.9756097560976,NA,NA,1640
"VehType1_Van",113,6.89024390243902,NA,NA,1640
"VehType2_Large",69,4.20731707317073,NA,NA,1640
"VehType0_Largetruck",27,1.64634146341463,NA,NA,1640
"VehType0_Trailer",25,1.52439024390244,NA,NA,1640
"VehType0_Bus",17,1.03658536585366,NA,NA,1640
"EncrTime",NA,NA,5.51890243902439,2.29669550986492,1640
"PreEncrTime",NA,NA,6.15445859872611,2.33686819824197,628
"PostEncrTime",NA,NA,5.17564870259481,2.13085552843459,1002
"ConflSev_Low",794,48.4146341463415,NA,NA,1640
"ConflSev_Mild",508,30.9756097560976,NA,NA,1640
"ConflSev_High",338,20.609756097561,NA,NA,1640
"WeathCle",1604,97.8048780487805,NA,NA,1640
"WeathRai",36,2.19512195121951,NA,NA,1640
"WeathSno",0,0,NA,NA,1640
"PRCP",NA,NA,0.000609756097560976,0.00469900901515308,1640
"PRCP_01",37,2.25609756097561,NA,NA,1640
"TEMP",NA,NA,60.1260975609756,15.8485280316956,1640
"TEMP_2050",618,37.6829268292683,NA,NA,1640
"TEMP_5065",369,22.5,NA,NA,1640
"TEMP_6580",495,30.1829268292683,NA,NA,1640
"TEMP_8095",158,9.63414634146342,NA,NA,1640
"Weekday_M_F",515,31.4024390243902,NA,NA,1640
"Weekday_TWH",1125,68.5975609756098,NA,NA,1640
"Weekend",0,0,NA,NA,1640
"TOD2_0611",522,31.8292682926829,NA,NA,1640
"TOD2_1217",872,53.1707317073171,NA,NA,1640
"TOD2_1805",246,15,NA,NA,1640
"AMPeak",168,10.2439024390244,NA,NA,1640
"PMPeak",335,20.4268292682927,NA,NA,1640
"PEDCP_ped_Walk",748,45.609756097561,NA,NA,1640
"PEDCP_ped_FDW",515,31.4024390243902,NA,NA,1640
"PEDCP_ped_SDW",228,13.9024390243902,NA,NA,1640
"RTNotSig",148,9.02439024390244,NA,NA,1640
"VEHCP_veh_G",1063,64.8170731707317,NA,NA,1640
"VEHCP_veh_Y",45,2.74390243902439,NA,NA,1640
"VEHCP_veh_R",384,23.4146341463415,NA,NA,1640
"RTNotSig",148,9.02439024390244,NA,NA,1640
