"Var","N","Mean","SD","Freq","Perc"
"NEAR_FAR_FarSide",4014,NA,NA,3086,76.8809167912307
"NEAR_FAR_NearSide",4014,NA,NA,928,23.1190832087693
"ALIGHT_BOARD_Alighting",3540,NA,NA,1736,49.0395480225989
"ALIGHT_BOARD_Boarding",3540,NA,NA,1804,50.9604519774011
"AGE_Adult of unknown age",3540,NA,NA,673,19.0112994350282
"AGE_Child",3540,NA,NA,57,1.61016949152542
"AGE_Teenager",3540,NA,NA,493,13.9265536723164
"AGE_Young adult",3540,NA,NA,1900,53.6723163841808
"AGE_Middle-aged adult",3540,NA,NA,331,9.35028248587571
"AGE_Older adult",3540,NA,NA,86,2.42937853107345
"GENDER_Unknown gender",3540,NA,NA,3292,92.9943502824859
"GENDER_Female",3540,NA,NA,88,2.48587570621469
"GENDER_Male",3540,NA,NA,160,4.51977401129944
"PER_OTHER_PERSON_TRUE",4014,NA,NA,735,18.3109118086697
"PER_OTHER_CARRYLOAD_TRUE",4014,NA,NA,88,2.19232685600399
"PER_OTHER_STROLLER_TRUE",4014,NA,NA,22,0.548081714000996
"PER_OTHER_WHEELCHAIR_TRUE",4014,NA,NA,26,0.64773293472845
"PER_OTHER_SKATEBOARD_TRUE",4014,NA,NA,24,0.597907324364723
"PER_OTHER_SCOOTER_TRUE",4014,NA,NA,15,0.373692077727952
"PER_OTHER_BICYCLE_TRUE",4014,NA,NA,24,0.597907324364723
"PER_OTHER_DISTRACTED_TRUE",4014,NA,NA,44,1.09616342800199
"PER_OTHER_OTHER_TRUE",4014,NA,NA,79,1.96811160936721
"PER_CROSS_A_At an intersection or a marked crossing",1736,NA,NA,941,54.205069124424
"PER_CROSS_A_Mid-block, away from an intersection or a marked crossing",1736,NA,NA,33,1.90092165898618
"PER_CROSS_A_Did not cross a street; turned a corner instead",1736,NA,NA,119,6.85483870967742
"PER_CROSS_A_Did not cross a street; walked away from the transit stop along the street",1736,NA,NA,353,20.3341013824885
"PER_CROSS_A_Did not cross a street; went to an adjacent land use (business, home, etc.)",1736,NA,NA,192,11.0599078341014
