"Var","N","Mean","SD","Freq","Perc"
"NEAR_FAR_FarSide",2244,NA,NA,1656,73.7967914438503
"NEAR_FAR_NearSide",2244,NA,NA,588,26.2032085561497
"N_BOARD",2244,0.78921568627451,1.09375461675002,NA,NA
"N_ALIGHT",2244,0.762923351158645,1.07330000634424,NA,NA
"STOP_E1_TRUE",2244,NA,NA,26,1.15864527629234
"STOP_E2_TRUE",2244,NA,NA,271,12.0766488413547
"STOP_E3_TRUE",2244,NA,NA,141,6.28342245989305
"STOP_E4_TRUE",2244,NA,NA,203,9.04634581105169
"STOP_E5_TRUE",2244,NA,NA,23,1.02495543672014
"STOP_E6_TRUE",2244,NA,NA,8,0.35650623885918
"STOP_E1_N_VEH",2244,0.0240641711229947,0.270977272959751,NA,NA
"STOP_E3_N_VEH",2244,0.120320855614973,0.578833580836528,NA,NA
"STOP_E4_N_VEH",2244,0.176916221033868,0.671290191894747,NA,NA
"STOP_E2_N_VEH",2244,0.282976827094474,0.998730740364936,NA,NA
"DwellTime",2242,31.0459411239964,31.8931187791933,NA,NA
