"DV","IV","Test","Stat","Param","pval","NF","NN","Level1","Stat1F","Stat1N","Level2","Stat2F","Stat2N"
"CROSS_LOC","NEAR_FAR","Fisher",4.18918580598699,NA,0.00534986797014931,661,146,"Crosswalk",0.986384266263237,0.945205479452055,"Away",0.0136157337367625,0.0547945205479452
"DRV_REACT","NEAR_FAR","Fisher",0.847950782587361,NA,0.410435707286651,661,146,"None",0.506807866868381,0.547945205479452,"Other",0.493192133131619,0.452054794520548
"PED_REACT","NEAR_FAR","Fisher",0.677411020635954,NA,0.290633005365065,661,146,"None",0.892586989409985,0.924657534246575,"Other",0.107413010590015,0.0753424657534247
"CONF_SEV_H","NEAR_FAR","Fisher",1.27695190193138,NA,0.29709205264359,661,146,"FALSE",0.813918305597579,0.773972602739726,"TRUE",0.186081694402421,0.226027397260274
"CONF_SEV_M","NEAR_FAR","Fisher",1.17878215326875,NA,0.424973193851559,661,146,"FALSE",0.706505295007564,0.671232876712329,"TRUE",0.293494704992436,0.328767123287671
"CONF_SEV_L","NEAR_FAR","Fisher",0.739767551577586,NA,0.119813160580111,661,146,"FALSE",0.479576399394856,0.554794520547945,"TRUE",0.520423600605144,0.445205479452055
"CONF_SEV_ET10","NEAR_FAR","t",0.130695174325569,206.695807351084,0.896143562076222,661,146,NA,NA,NA,NA,5.59001512859304,5.56164383561644
"CROSS_LOC","NEAR_FAR","Fisher",2.56125567889961,NA,0.285441380417911,123,33,"Crosswalk",0.975609756097561,0.939393939393939,"Away",0.024390243902439,0.0606060606060606
"DRV_REACT","NEAR_FAR","Fisher",3.0624809319535,NA,0.0235410282470368,123,33,"None",0.40650406504065,0.181818181818182,"Other",0.59349593495935,0.818181818181818
"PED_REACT","NEAR_FAR","Fisher",0.777626847770916,NA,0.800178847370495,123,33,"None",0.813008130081301,0.848484848484849,"Other",0.186991869918699,0.151515151515152
"CONF_SEV_ET03","NEAR_FAR","t",-2.41764462089579,75.8928757864686,0.0180209929590472,123,33,NA,NA,NA,NA,2.30894308943089,2.60606060606061
