"Var","N","Mean","SD","Freq","Perc"
"NEAR_FAR_FarSide",807,NA,NA,661,81.908302354399
"NEAR_FAR_NearSide",807,NA,NA,146,18.091697645601
"GroupSize",807,1.20074349442379,0.617647375350291,NA,NA
"Age_Child_TRUE",807,NA,NA,21,2.60223048327138
"Age_Teenager_TRUE",807,NA,NA,68,8.42627013630731
"Age_Young_adult_TRUE",807,NA,NA,323,40.0247831474597
"Age_Middle_aged_adult_TRUE",807,NA,NA,328,40.6443618339529
"Age_Older_TRUE",807,NA,NA,24,2.97397769516729
"Age_Adult_of_unknown_age_TRUE",807,NA,NA,84,10.4089219330855
"Gender_Male_TRUE",807,NA,NA,537,66.542750929368
"Gender_Female_TRUE",807,NA,NA,234,28.996282527881
"Gender_Unknown_TRUE",807,NA,NA,89,11.0285006195787
"OC_Load_TRUE",807,NA,NA,33,4.08921933085502
"OC_Stroller_TRUE",807,NA,NA,7,0.867410161090459
"OC_Wheelchair_TRUE",807,NA,NA,4,0.495662949194548
"OC_Skateboard_TRUE",807,NA,NA,20,2.47831474597274
"OC_Scooter_TRUE",807,NA,NA,21,2.60223048327138
"OC_Bicycle_TRUE",807,NA,NA,135,16.728624535316
"OC_Distracted_TRUE",807,NA,NA,9,1.11524163568773
"CWNum1_TRUE",807,NA,NA,122,15.1177199504337
"CWNum2_TRUE",807,NA,NA,685,84.8822800495663
"LocCross_Crosswalk_TRUE",807,NA,NA,790,97.8934324659232
"LocCross_Midblock_TRUE",807,NA,NA,13,1.61090458488228
"LocCross_Middle_TRUE",807,NA,NA,4,0.495662949194548
"CDirLeav_TRUE",807,NA,NA,536,66.4188351920694
"CDirAppr_TRUE",807,NA,NA,271,33.5811648079306
"ReactPed_None_TRUE",807,NA,NA,725,89.8389095415118
"ReactPed_Stop_TRUE",807,NA,NA,36,4.46096654275093
"ReactPed_Slow_TRUE",807,NA,NA,8,0.991325898389095
"ReactPed_Spedup_TRUE",807,NA,NA,18,2.23048327137546
"ReactPed_Ran_TRUE",807,NA,NA,10,1.23915737298637
"ReactPed_Cdir_TRUE",807,NA,NA,10,1.23915737298637
"RTQueue",807,1.90954151177199,1.68793578340012,NA,NA
"Loc_Stop_None_TRUE",807,NA,NA,489,60.5947955390335
"Loc_Stop_Before_TRUE",807,NA,NA,112,13.8785625774473
"Loc_Stop_Inside1_TRUE",807,NA,NA,145,17.9677819083024
"Loc_Stop_Between_TRUE",807,NA,NA,61,7.55885997521685
"Loc_Stop_Inside2_TRUE",807,NA,NA,0,0
"ReactDrv_None_TRUE",807,NA,NA,415,51.4250309789343
"ReactDrv_Stop_TRUE",807,NA,NA,167,20.6939281288724
"ReactDrv_Slow_TRUE",807,NA,NA,208,25.7744733581165
"ReactDrv_Spedup_TRUE",807,NA,NA,15,1.85873605947955
"ReactDrv_Swerve_TRUE",807,NA,NA,2,0.247831474597274
"VehType2_Small_TRUE",807,NA,NA,333,41.2639405204461
"VehType2_Medium_TRUE",807,NA,NA,451,55.8859975216853
"VehType2_Large_TRUE",807,NA,NA,23,2.85006195786865
"EncrTime",807,5.58488228004957,2.29519283041855,NA,NA
"ConflSev_Low_TRUE",807,NA,NA,409,50.6815365551425
"ConflSev_Mild_TRUE",807,NA,NA,242,29.9876084262701
"ConflSev_High_TRUE",807,NA,NA,156,19.3308550185874
