"Var","N","Mean","SD","Freq","Perc"
"NEAR_FAR_FarSide",2611,NA,NA,2172,83.1865185752585
"NEAR_FAR_NearSide",2611,NA,NA,439,16.8134814247415
"GroupSize",2611,1.23707391803907,0.655729608772843,NA,NA
"AgeChild_TRUE",2611,NA,NA,40,1.5319800842589
"AgeTeen_TRUE",2611,NA,NA,106,4.0597472232861
"AgeAdultYoung_TRUE",2611,NA,NA,951,36.4228265032555
"AgeAdultMiddle_TRUE",2611,NA,NA,941,36.0398314821907
"AgeAdultOlder_TRUE",2611,NA,NA,30,1.14898506319418
"AgeAdultUnknown_TRUE",2611,NA,NA,630,24.1286863270777
"GenderMale_TRUE",2611,NA,NA,1563,59.8621217924167
"GenderFemale_TRUE",2611,NA,NA,674,25.8138644197625
"GenderUnknown_TRUE",2611,NA,NA,605,23.1711987744159
"OtherStroller_TRUE",2611,NA,NA,16,0.612792033703562
"OtherLoad_TRUE",2611,NA,NA,29,1.11068556108771
"OtherWheelchair_TRUE",2611,NA,NA,19,0.72769054002298
"OtherSkateboard_TRUE",2611,NA,NA,36,1.37878207583301
"OtherScooter_TRUE",2611,NA,NA,51,1.9532746074301
"OtherBicycle_TRUE",2611,NA,NA,359,13.7495212562237
"OtherOther_TRUE",2611,NA,NA,77,2.94906166219839
"WaitOtherPeople",2611,0.170815779394868,0.550101405625565,NA,NA
"VehiclesPast10",2611,4.1248563768671,4.65060029170797,NA,NA
"VehiclesNext10",2611,3.56683263117579,4.27892848807696,NA,NA
"WaitBehPressed_TRUE",2611,NA,NA,1380,52.8533129069322
"WaitBehPaced_TRUE",2611,NA,NA,135,5.1704327843738
"WaitBehLeft_TRUE",2611,NA,NA,39,1.49368058215243
"WaitBehOther_TRUE",2611,NA,NA,72,2.75756415166603
"TimeWaitClean",2561,30.0370948848106,31.2547338663603,NA,NA
"CrossLoc_In the crosswalk or the crosswalk area",2611,NA,NA,2488,95.2891612409039
"CrossLoc_Mid-block, away from the crosswalk",2611,NA,NA,82,3.14055917273075
"CrossLoc_In the middle of the intersection",2611,NA,NA,2,0.0765990042129452
"CrossLoc_Other",2611,NA,NA,39,1.49368058215243
"CrossDir_Left to right (-->)",2611,NA,NA,1228,47.0317885867484
"CrossDir_Right to left (<--)",2611,NA,NA,1341,51.3596323247798
"CrossDir_Other",2611,NA,NA,42,1.60857908847185
"CrossOtherPeopleSame",2572,0.242612752721617,0.631288940417885,NA,NA
"CrossOtherPeopleOppo",2572,0.19556765163297,0.554543298249871,NA,NA
"CrossMarkInAll_TRUE",2611,NA,NA,2216,84.8716966679433
"CrossMarkInOut_TRUE",2611,NA,NA,220,8.42589046342398
"CrossMarkOutAll_TRUE",2611,NA,NA,165,6.31941784756798
"CrossMarkOther_TRUE",2611,NA,NA,2,0.0765990042129452
"CrossBehSpeed_TRUE",2611,NA,NA,153,5.85982382229031
"CrossBehPaused_TRUE",2611,NA,NA,59,2.25967062428188
"CrossBehDistracted_TRUE",2611,NA,NA,10,0.382995021064726
"CrossBehOther_TRUE",2611,NA,NA,50,1.91497510532363
"CrossObsCar_TRUE",2611,NA,NA,121,4.63423975488319
"CrossObsSWD_TRUE",2611,NA,NA,0,0
"CrossObsOther_TRUE",2611,NA,NA,4,0.15319800842589
"TimeCurbClean",2566,17.0650818394388,7.20840237827363,NA,NA
