"Folder","ID","Person","TS.of.data.collection","Researcher.Initial","Signal.ID","Date","Weather","Number.of.people.in.group","Age_Child","Age_Teenager","Age_Young_adult","Age_Middle_aged_adult","Age_Older_adult_over_65","Age_Adult_of_unknown_age","Age_ChildTeen","Age_Adult","Gender_Male","Gender_Female","Gender_Unknown_gender","OC_Stroller","OC_Carrying_load","OC_Wheelchair","OC_Skateboard","OC_Scooter","OC_Bicycle","OC_Distracted","OC_Others","Crosswalk.ID","Crossing.location","Crossing.direction","Ped.TS.at.CP.1","Ped.TS.at.CP.2","Ped.TS.at.CP.Diff","RT.queue.length","About.Ped","About.overall.conflict","Vehicle","Stop.location","TS.CP","Reaction.to.conflict","Ped.Reaction","Type","About.Conflict","Encroachment_Time_Pre","Encroachment_Time_Post","Encroachment_Time","Encroachment.Car.Before.Ped","Encroachment.Car.After.Ped","Encroachment.Car.Same.Ped","Signal","Location","Corner","RT","Start","End","Duration","P_RT","P_P1","P_P2","P_Notes","SKEWED","CORNER","BIKE_LN","BIKE_LOC","RT_LNS","REC_LNS","CHANNEL","CURB_RAD","CW_DIST","SB_DIST","RAMPS","CR_TYPE","EXTENSION","Street.Lt","CWType1","RTOR","CWType2","RTNotSig","OnRamp","OffRamp","LAT","LONG","AAD","area_sqmi_qtmi","per_res_qtmi","per_com_qtmi","per_ind_qtmi","per_vac_qtmi","per_other_qtmi","intden_qtmi","per4wy_qtmi","worship_qtmi","schools_qtmi","park_sqmi_qtmi","popden_000_qtmi","empden_000_qtmi","income_000_qtmi","avgveh_qtmi","hhsize_qtmi","stops_qtmi","stopden_qtmi","highway","local_road","major_road","AADT_30M_Buffer","PEDCP1_ped1","PEDCP1_ped2","PEDCP1_veh","PEDCP2_ped1","PEDCP2_ped2","PEDCP2_veh","VEHCP_ped1","VEHCP_ped2","VEHCP_veh","PEDCP_veh","PEDCP_ped","VEHCP_ped","skyc_%","air_temp_f","dew_point_f","uwnd_mps","vwnd_mps","hourly_precip_in","Weekday","Weekend","Hour","TOD1","TOD2","AMPeak","PMPeak"
"2021-09-14 5306",8,"BN",2022-02-15 21:04:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 15:55:00,2021-09-15 15:55:00,0,"1",NA,NA,1,"Before the first crosswalk",2021-09-15 15:55:04,"No obvious reaction","No obvious reaction","Pickup Truck",NA,-4,4,4,FALSE,TRUE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,81.8,35.4,2.34,2.26,0,"Wed",FALSE,"15","1517","1217",FALSE,FALSE
"2021-09-14 5306",10,"BN",2022-02-15 21:07:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 16:07:28,2021-09-15 16:07:28,0,"2",NA,NA,1,"Did not stop",2021-09-15 16:07:31,"Driver slowed down","No obvious reaction","Vehicle Pulling a Trailer",NA,-3,3,3,FALSE,TRUE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,81.8,35.4,2.34,2.26,0,"Wed",FALSE,"16","1517","1217",FALSE,TRUE
"2021-09-14 5306",10,"BN",2022-02-15 21:07:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 16:07:28,2021-09-15 16:07:28,0,"2",NA,NA,2,"Did not stop",2021-09-15 16:07:35,"No obvious reaction","No obvious reaction","Van (mini van, sprinter van, etc.)",NA,-7,7,7,FALSE,TRUE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,81.8,35.4,2.34,2.26,0,"Wed",FALSE,"16","1517","1217",FALSE,TRUE
"2021-09-14 5306",11,"BN",2022-02-15 21:10:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 16:42:23,2021-09-15 16:42:23,0,"1",NA,NA,1,"Did not stop",2021-09-15 16:42:25,"No obvious reaction","No obvious reaction","Sedan",NA,-2,2,2,FALSE,TRUE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,82.1,33.5,1.91,2.86,0,"Wed",FALSE,"16","1517","1217",FALSE,TRUE
"2021-09-14 5306",12,"BN",2022-02-15 21:13:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 17:09:49,2021-09-15 17:09:49,0,"2",NA,NA,1,"Between the first and second crosswalk",2021-09-15 17:09:51,"Driver fully stopped","No obvious reaction","SUV",NA,-2,2,2,FALSE,TRUE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,82.1,33.5,1.91,2.86,0,"Wed",FALSE,"17","1517","1217",FALSE,TRUE
"2021-09-14 5306",14,"BN",2022-02-15 21:19:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 18:19:31,2021-09-15 18:19:31,0,"0",NA,NA,1,"Did not stop",2021-09-15 18:19:23,"No obvious reaction","No obvious reaction","Van (mini van, sprinter van, etc.)",NA,8,-8,-8,TRUE,FALSE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Solid Don't Walk","Red","Green","Walk","SDW",0,82.4,36.1,0.72,2.59,0,"Wed",FALSE,"18","1820","1805",FALSE,FALSE
"2021-09-14 5306",14,"BN",2022-02-15 21:19:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 18:19:31,2021-09-15 18:19:31,0,"0",NA,NA,2,"Did not stop",2021-09-15 18:19:24,"No obvious reaction","No obvious reaction","Sedan",NA,7,-7,-7,TRUE,FALSE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Solid Don't Walk","Red","Green","Walk","SDW",0,82.4,36.1,0.72,2.59,0,"Wed",FALSE,"18","1820","1805",FALSE,FALSE
"2021-09-14 5306",15,"BN",2022-02-15 21:22:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 19:14:46,2021-09-15 19:14:46,0,"1",NA,NA,1,"Between the first and second crosswalk",2021-09-15 19:14:49,"No obvious reaction","No obvious reaction","SUV",NA,-3,3,3,FALSE,TRUE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,81.2,36.6,1.22,2.2,0,"Wed",FALSE,"19","1820","1805",FALSE,FALSE
"2021-09-14 5306",16,"BN",2022-02-16 11:39:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"walking a dog","Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 19:56:42,2021-09-15 19:56:42,0,"3",NA,NA,1,"Did not stop",2021-09-15 19:56:39,"No obvious reaction","No obvious reaction","SUV",NA,3,-3,-3,TRUE,FALSE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,77.4,39.3,-0.53,2.62,0,"Wed",FALSE,"19","1820","1805",FALSE,FALSE
"2021-09-14 5306",16,"BN",2022-02-16 11:39:00,"BN",5306,2021-09-15,"Clear",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"walking a dog","Second crosswalk","In the crosswalk or the crosswalk area","Leaving Curb",2021-09-15 19:56:42,2021-09-15 19:56:42,0,"3",NA,NA,2,"Did not stop",2021-09-15 19:56:45,"Driver slowed down","No obvious reaction","Van (mini van, sprinter van, etc.)",NA,-3,3,3,FALSE,TRUE,FALSE,5306,"Main St / US-89/91 @ 400 N / US-89, LGN","SE","NB RT",2021-09-14 15:39:00,2021-09-16 08:35:00,40.9333333333489,2,NA,2,NA,FALSE,2,FALSE,NA,1,0,FALSE,42,12,2,1,"Diagonal",FALSE,TRUE,"No Crossing",FALSE,"Standard",FALSE,FALSE,FALSE,41.73907982,-111.8347528,326.959369764684,0.154319589,16.71754204,44.0088677,0,6.11616005,6.764352204,77.76070466,58.33333333,0,0,0,6.380008089,16.45633363,29.3992,1.519266935,2.43464282,8,51.84046977,1,1,0,24993.5933,NA,"Walk","Green",NA,"Walk","Green",NA,"Walk","Green","Green","Walk","Walk",0,77.4,39.3,-0.53,2.62,0,"Wed",FALSE,"19","1820","1805",FALSE,FALSE
