SIGNAL,CROSSWALK,NEAR1,FAR1,NEAR2,FAR2,LAT,LNG,WHICH,NOTE
1021,North,FALSE,FALSE,FALSE,FALSE,,,,
1021,East,FALSE,FALSE,FALSE,FALSE,,,,
1229,North,TRUE,FALSE,TRUE,FALSE,40.725405,-111.85382,North near,
4130,North,FALSE,FALSE,FALSE,FALSE,,,,
4301,North,FALSE,FALSE,FALSE,FALSE,,,,
4301,West,FALSE,FALSE,FALSE,FALSE,,,,
4502,West,FALSE,FALSE,FALSE,FALSE,,,,
4511,South,FALSE,FALSE,FALSE,FALSE,,,,
4511,West,FALSE,FALSE,FALSE,FALSE,,,,
4662,South,FALSE,FALSE,FALSE,FALSE,,,,
5024,West,FALSE,FALSE,FALSE,TRUE,41.222771,-111.970453,South far,
5093,West,FALSE,FALSE,FALSE,TRUE,41.176187,-112.025997,South far,
5299,East,FALSE,FALSE,FALSE,FALSE,,,,
5305,North,FALSE,FALSE,FALSE,FALSE,,,,
5305,East,FALSE,FALSE,FALSE,FALSE,,,,
5311,North,FALSE,FALSE,FALSE,FALSE,,,,
5311,West,FALSE,FALSE,FALSE,FALSE,,,,
5330,East,FALSE,FALSE,FALSE,FALSE,,,,
5332,North,FALSE,FALSE,FALSE,FALSE,,,,
5363,North,FALSE,FALSE,FALSE,FALSE,,,,
5702,East,FALSE,FALSE,FALSE,TRUE,40.884268,-111.880698,North far,
6146,North,FALSE,FALSE,FALSE,FALSE,,,,
6393,North,FALSE,TRUE,TRUE,TRUE,40.326552,-111.707929,"North far, East near",
6393,West,FALSE,TRUE,FALSE,TRUE,40.326552,-111.707929,West far,
6407,West,FALSE,FALSE,FALSE,TRUE,40.233742,-111.658707,South far,MEDIAN TOO
7086,North,FALSE,TRUE,FALSE,TRUE,40.771529,-111.939262,North far,
7086,West,FALSE,FALSE,FALSE,TRUE,40.771529,-111.939262,South far,
7099,West,FALSE,FALSE,FALSE,TRUE,40.720811,-111.938993,South far,
7184,East,FALSE,TRUE,FALSE,TRUE,40.749793,-111.871102,East far,
7218,Southwest,FALSE,FALSE,FALSE,TRUE,40.755147,-111.833771,Southeast far,
7328,North,FALSE,TRUE,FALSE,TRUE,40.652966,-111.986943,North far,
7332,North,FALSE,FALSE,FALSE,TRUE,40.653097,-111.948364,West far,
7355,South,FALSE,FALSE,FALSE,FALSE,,,,
7374,West,FALSE,FALSE,FALSE,FALSE,,,,"couldn't tell, assume no"
7381,East,FALSE,FALSE,FALSE,TRUE,40.696491,-112.024894,North far,
7464,North,FALSE,FALSE,TRUE,FALSE,40.652755,-111.996445,East near,
7475,North,FALSE,FALSE,FALSE,FALSE,,,,
7622,East,FALSE,FALSE,FALSE,FALSE,,,,
8113,East,FALSE,FALSE,FALSE,FALSE,,,,
8117,South,FALSE,FALSE,FALSE,FALSE,,,,
8222,South,FALSE,FALSE,FALSE,FALSE,,,,
8302,North,FALSE,FALSE,FALSE,FALSE,,,,
8302,East,FALSE,FALSE,FALSE,FALSE,,,,
8627,West,FALSE,FALSE,FALSE,FALSE,,,,
8634,North,FALSE,FALSE,FALSE,FALSE,,,,
8725,North,FALSE,FALSE,FALSE,FALSE,,,,
8828,West,FALSE,FALSE,FALSE,FALSE,,,,
